ts,epoch,uptime_s,load1,load5,load15,temp_c,mem_total_kb,mem_used_kb,mem_avail_kb,swap_used_kb,root_used_pct,root_avail_kb,varlog_used_pct,tmp_used_pct,home_cara_kb,tmp_chromium_kb,log_total_kb,app_log_kb,guardian_log_kb,watchdog_log_kb,access_log_kb,proj_http,services_ok,xorg,openbox,chromium_pid,chromium_count,chromium_rss_kb,chromium_cpu_sum,python_pid,python_rss_kb,python_cpu,active_session,user_ip,chromium_restarts,notes
2026-05-29 16:57:19,1780084639,13070,2.07,1.83,1.82,75.0,985420,251276,734144,0,70,2149784,14,8,76488,32696,104,4,56,40,4,200,1,1,1,5065,11,651296,163.7,4063,20532,0.1,false,,0,ok
2026-05-29 16:57:24,1780084644,13075,2.22,1.87,1.83,74.0,985420,255280,730140,0,70,2149776,14,8,76496,32696,104,4,56,40,4,200,1,1,1,5065,11,655124,163.7,4063,20564,0.2,false,,0,ok
2026-05-29 16:59:13,1780084753,13183,2.15,1.92,1.85,75.0,985420,264532,720888,0,70,2149208,14,8,77064,32696,104,4,56,40,4,200,1,1,1,5065,10,663120,163.8,4063,20564,0.2,false,,0,ok
2026-05-29 17:00:01,1780084801,13232,1.81,1.87,1.84,76.0,985420,245952,739468,0,70,2149136,14,8,77136,32696,104,4,56,40,4,200,1,1,1,5065,10,641160,163.8,4063,20564,0.2,false,,0,ok
2026-05-29 17:05:02,1780085102,13532,1.95,1.87,1.84,75.0,985420,264880,720540,0,70,2149136,14,8,77136,32696,104,4,56,40,4,200,1,1,1,5065,10,663528,163.9,4063,20564,0.1,false,,0,ok
2026-05-29 17:10:01,1780085401,13832,1.92,1.94,1.88,75.0,985420,258740,726680,0,70,2149136,14,8,77136,32696,104,4,56,40,4,200,1,1,1,5065,10,658536,164.0,4063,20564,0.1,false,,0,ok
2026-05-29 17:15:01,1780085701,14132,2.10,1.85,1.85,76.0,985420,256432,728988,0,70,2149128,14,8,77144,32696,112,4,60,44,4,200,1,1,1,5065,10,654832,164.1,4063,20580,0.1,false,,0,ok
2026-05-29 17:20:01,1780086002,14432,1.77,1.82,1.84,76.0,985420,254772,730648,0,70,2149128,14,8,77144,32696,112,4,60,44,4,200,1,1,1,5065,10,653336,164.2,4063,20580,0.1,false,,0,ok
2026-05-29 17:25:02,1780086302,14733,1.59,1.70,1.78,77.0,985420,250172,735248,0,70,2149128,14,8,77144,32696,112,4,60,44,4,200,1,1,1,5065,10,648520,164.3,4063,20580,0.1,false,,0,ok
2026-05-29 17:30:01,1780086601,15032,1.80,1.75,1.78,78.0,985420,246012,739408,0,70,2149128,14,8,77144,32696,112,4,60,44,4,200,1,1,1,5065,10,644412,164.4,4063,20580,0.1,false,,0,ok
2026-05-29 17:35:01,1780086901,15332,2.14,1.96,1.87,78.0,985420,266332,719088,0,70,2149124,14,8,77148,32696,116,4,64,44,4,200,1,1,1,5065,10,663980,164.5,4063,20592,0.1,false,,0,ok
2026-05-29 17:40:02,1780087202,15633,2.16,2.02,1.92,78.0,985420,259552,725868,0,70,2149120,14,8,77152,32696,120,4,64,48,4,200,1,1,1,5065,10,660772,164.5,4063,20592,0.1,false,,0,ok
2026-05-29 17:45:01,1780087501,15932,1.96,1.98,1.93,79.0,985420,256656,728764,0,70,2149120,14,8,77152,32696,120,4,64,48,4,200,1,1,1,5065,10,657484,164.6,4063,20592,0.1,false,,0,ok
2026-05-29 17:50:01,1780087801,16232,2.00,1.99,1.94,80.0,985420,252708,732712,0,70,2149120,14,8,77152,32696,120,4,64,48,4,200,1,1,1,5065,10,654732,164.7,4063,20592,0.1,false,,0,temp_high
2026-05-29 17:55:02,1780088102,16532,1.96,1.94,1.93,79.0,985420,249308,736112,0,70,2149112,14,8,77160,32696,124,4,68,48,4,200,1,1,1,5065,10,649524,164.7,4063,20596,0.1,false,,0,ok
2026-05-29 18:00:01,1780088401,16832,1.89,1.95,1.93,79.0,985420,246092,739328,0,70,2149112,14,8,77160,32696,124,4,68,48,4,200,1,1,1,5065,10,646460,164.8,4063,20596,0.1,false,,0,ok
2026-05-29 18:05:01,1780088701,17132,1.76,1.83,1.89,79.0,985420,264520,720900,0,70,2149108,14,8,77164,32696,128,4,68,52,4,200,1,1,1,5065,10,667236,165.0,4063,20600,0.1,false,,0,ok
2026-05-29 18:10:01,1780089001,17432,2.05,1.92,1.92,79.0,985420,262000,723420,0,70,2149100,14,8,77172,32696,132,4,72,52,4,200,1,1,1,5065,10,664464,165.0,4063,20600,0.1,false,,0,ok
2026-05-29 18:15:01,1780089301,17732,1.64,1.78,1.86,80.0,985420,258904,726516,0,70,2149100,14,8,77172,32696,132,4,72,52,4,200,1,1,1,5065,10,658908,165.1,4063,20600,0.1,false,,0,temp_high
2026-05-29 18:20:01,1780089601,18032,1.57,1.66,1.79,80.0,985420,254224,731196,0,70,2149100,14,8,77172,32696,132,4,72,52,4,200,1,1,1,5065,10,657080,165.1,4063,20600,0.1,false,,0,temp_high
2026-05-29 18:25:02,1780089902,18333,1.61,1.77,1.82,80.0,985420,251692,733728,0,70,2149100,14,8,77172,32696,132,4,72,52,4,200,1,1,1,5065,10,652760,165.3,4063,20600,0.1,false,,0,temp_high
